"Payment Method","Payment Method"
"Fixed Discount","Fixed Discount"
"Percentage Discount","Percentage Discount"
"Max Installments Allowed","Max Installments Allowed"
"Number of No Interest Installments","Number of No Interest Installments"
"Monthly Interest Rate (%) - Ex.: 0.9","Monthly Interest Rate (%) - Ex.: 0.9"
"Payment Method Content to Show","Payment Method Content to Show"
Add,Add
"Payment Options","Payment Options"
"Discount: ","Discount: "
"Final Price: ","Final Price: "
"Installment Options:","Installment Options:"
"with ","with "
"interest per month","interest per month"
Fineweb,Fineweb
"Product Payment Options","Product Payment Options"
"Payment Options Configuration","Payment Options Configuration"
"Is Enable","Is Enable"
