"Payment Method","Método de Pagamento"
"Fixed Discount","Desconto Fixo"
"Percentage Discount","Desconto Percentual"
"Max Installments Allowed","Máximo de Parcelas Permitidas"
"Number of No Interest Installments","Número de Parcelas Sem Juros"
"Monthly Interest Rate (%) - Ex.: 0.9","Taxa de Juros Mensal (%) - Ex.: 0.9"
"Payment Method Content to Show","Conteúdo do Método de Pagamento a Exibir"
Add,"Adicionar"
"Payment Options","Opções de Pagamento"
"Discount: ","Desconto: "
"Final Price: ","Preço Final: "
"Installment Options:","Opções de Parcelamento:"
"with ","com "
"interest per month","juros por mês"
Fineweb,Fineweb
"Product Payment Options","Opções de Pagamento de Produto"
"Payment Options Configuration","Configuração de Opções de Pagamento"
"Is Enable","Está Ativado"
